entrez	symbol	pubmed_id	type	primary_site	cancer_type	method
1956	EGFR	26437033	"WES-gene panel"	breast	breast_fibroepithelial_tumours	Recurrence-based
1956	EGFR	23539594	"Known Cancer"	multiple	-	-
1956	EGFR	27270107	WES	brain	glioblastoma	MutComFocal
1956	EGFR	24705251	WGS-WES	brain	paediatric_high-grade_glioma	Recurrence-based
1956	EGFR	25301631	WES	lung	lung_adenocarcinoma	Literature-based
1959	EGR2	23415222	WES	blood	chronic_lymphocytic_leukemia	MutSig
1959	EGR2	26466571	WES	blood	chronic_lymphocytic_leukemia	MutSig
1959	EGR2	22158541	WES	blood	chronic_lymphocytic_leukemia	Recurrence-based
1960	EGR3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
1960	EGR3	24132290	WES	multiple	pan-cancer_adult	MuSiC
1964	EIF1AX	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
1964	EIF1AX	25417114	WES	thyroid	papillary_thyroid_cancer	MutSig
1964	EIF1AX	26824661	WGS-WES	brain	pan-glioma	MutSig
1964	EIF1AX	14993899	"Known Cancer"	multiple	-	-
1964	EIF1AX	26683228	WGS-WES	uvea	melanoma	"Recurrence-based, Literature-based"
1964	EIF1AX	25576899	"WES-gene panel"	thyroid	anaplastic_thyroid_carcinoma	"Recurrence-based, Literature-based"
1964	EIF1AX	28810145	WES	uvea	melanoma	MutSig
1969	EPHA2	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
1969	EPHA2	24390350	WES	multiple	pan-cancer_adult	MutSig
1973	EIF4A1	26192917	"WES-gene panel"	blood	natural_killer/T_cell_lymphoma	MuSiC
1974	EIF4A2	14993899	"Known Cancer"	multiple	-	-
1974	EIF4A2	24132290	WES	multiple	pan-cancer_adult	MuSiC
1990	CELA1	26941397	WES	thyroid	papillary_thyroid_cancer	MutSig
1993	ELAVL2	22941189	WES	lung	small_cell_lung_cancer	Wood-based
1995	ELAVL3	26790612	WES	head_and_neck	squamous_head_and_neck_cancer	MuSiC
1997	ELF1	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
1999	ELF3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
1999	ELF3	24476821	WES	bladder	bladder_cancer	MutSig
1999	ELF3	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
1999	ELF3	14993899	"Known Cancer"	multiple	-	-
1999	ELF3	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
1999	ELF3	26804919	WES	small_intestine	ampullary_adenocarcinoma	MutSig
1999	ELF3	24121792	WES	bladder	bladder_cancer	Wood-based
1999	ELF3	24132290	WES	multiple	pan-cancer_adult	MuSiC
1999	ELF3	24390350	WES	multiple	pan-cancer_adult	MutSig
1999	ELF3	25501392	WES	multiple	pan-cancer_adult	HOTNET2
1999	ELF3	26258846	WES	hepatobiliary	biliary_tract_cancer	MutSig
1999	ELF3	24390348	WES	cervix	cervical_cancer_(all_histologies)	MutSig
1999	ELF3	28988769	WES	bladder	bladder_cancer	MutSig
1999	ELF3	24816253	WGS	stomach	gastric_adenocarcinoma	Youn-based
1999	ELF3	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
2000	ELF4	14993899	"Known Cancer"	multiple	-	-
2000	ELF4	26466571	WES	blood	chronic_lymphocytic_leukemia	MutSig
2000	ELF4	25501392	WES	multiple	pan-cancer_adult	HOTNET2
2005	ELK4	14993899	"Known Cancer"	multiple	-	-
2006	ELN	14993899	"Known Cancer"	multiple	-	-
2006	ELN	18772397	WES	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
2011	MARK2	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
2011	MARK2	27149842	WES	colorectal	colorectal_adenocarcinoma	MutSig
2033	EP300	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2033	EP300	24476821	WES	bladder	bladder_cancer	MutSig
2033	EP300	28548104	WGS	esophagus	esophageal_squamous_carcinoma	MutSig
2033	EP300	14993899	"Known Cancer"	multiple	-	-
2033	EP300	25151357	WES	esophagus	esophageal_squamous_carcinoma	MutSig
2033	EP300	26168399	WGS	lung	small_cell_lung_cancer	Paper-specific
2033	EP300	21822268	WES	bladder	bladder_cancer	"Wood-based, Recurrence-based"
2033	EP300	24121792	WES	bladder	bladder_cancer	Wood-based
2033	EP300	26192917	"WES-gene panel"	blood	natural_killer/T_cell_lymphoma	MuSiC
2033	EP300	18772397	WES	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
2033	EP300	24132290	WES	multiple	pan-cancer_adult	MuSiC
2033	EP300	26437031	"WGS-WES-Gene panel"	blood	T-cell_leukemia/lymphoma	MutSig
2033	EP300	28064239	WES	blood	follicular_lymphoma	MuSiC
2033	EP300	24390350	WES	multiple	pan-cancer_adult	MutSig
2033	EP300	28098136	WGS-WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
2033	EP300	24686850	WES	esophagus	esophageal_squamous_carcinoma	MutSig
2033	EP300	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
2033	EP300	21390126	WES	blood	diffuse_large_B-cell_lymphoma	Recurrence-based
2033	EP300	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
2033	EP300	28988769	WES	bladder	bladder_cancer	MutSig
2033	EP300	28112728	WGS	cervix	cervical_cancer_(all_histologies)	MutSig
2033	EP300	23539594	"Known Cancer"	multiple	-	-
2033	EP300	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2033	EP300	26625313	WES	bladder	bladder_cancer	MutSig
2033	EP300	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
2033	EP300	22237106	WGS	blood	acute_lymphoblastic_leukemia	Recurrence-based
2033	EP300	23583981	WGS-WES	brain	paediatric_low_grade_glioma	"MuSiC, Paper-specific"
2034	EPAS1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2034	EPAS1	28162975	WES	adrenal_gland	pheochromocytoma,_paraganglioma	MutSig
2034	EPAS1	14993899	"Known Cancer"	multiple	-	-
2041	EPHA1	20601955	"Gene panel"	soft_tissue	soft_tissue_sarcoma	Recurrence-based
2042	EPHA3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2042	EPHA3	26824661	WGS-WES	brain	pan-glioma	MutSig
2042	EPHA3	18948947	"Gene panel"	lung	lung_adenocarcinoma	MuSiC
2042	EPHA3	14993899	"Known Cancer"	multiple	-	-
2042	EPHA3	22980976	WGS	lung	non-small_cell_lung_cancer	MuSiC
2042	EPHA3	24132290	WES	multiple	pan-cancer_adult	MuSiC
2042	EPHA3	25501392	WES	multiple	pan-cancer_adult	HOTNET2
2042	EPHA3	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
2043	EPHA4	24755198	"WES-gene panel"	skin	melanoma	Recurrence-based
2044	EPHA5	20601955	"Gene panel"	soft_tissue	soft_tissue_sarcoma	Recurrence-based
2044	EPHA5	18948947	"Gene panel"	lung	lung_adenocarcinoma	MuSiC
2044	EPHA5	24908143	"Gene panel"	soft_tissue	soft_tissue_sarcoma	Recurrence-based
2044	EPHA5	20668451	"Gene panel"	lung	lung_cancer_(all_histologies)	Wood-based
2045	EPHA7	21798897	WES	head_and_neck	squamous_head_and_neck_cancer	Recurrence-based
2045	EPHA7	22610119	WES	prostate	prostate_cancer	MutSig
2045	EPHA7	20601955	"Gene panel"	soft_tissue	soft_tissue_sarcoma	Recurrence-based
2045	EPHA7	14993899	"Known Cancer"	multiple	-	-
2045	EPHA7	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2045	EPHA7	24755198	"WES-gene panel"	skin	melanoma	Recurrence-based
2047	EPHB1	22158541	WES	blood	chronic_lymphocytic_leukemia	Recurrence-based
2047	EPHB1	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2050	EPHB4	20399149	"Gene panel"	brain	glioblastoma	Paper-specific
2051	EPHB6	24132290	WES	multiple	pan-cancer_adult	MuSiC
2054	STX2	24390350	WES	multiple	pan-cancer_adult	MutSig
2058	EPRS	27687306	WES	lung	lung_adenocarcinoma	InVEx
2060	EPS15	14993899	"Known Cancer"	multiple	-	-
2064	ERBB2	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2064	ERBB2	26950094	"WES-gene panel"	skin	skin_basal_cell_carcinoma	"MutSig, TumOnc"
2064	ERBB2	27158780	WES	lung	lung_cancer_(all_histologies)	MutSig
2064	ERBB2	18772890	"Gene panel"	brain	glioblastoma	Wood-based
2064	ERBB2	25079317	WES	stomach	gastric_adenocarcinoma	MutSig
2064	ERBB2	26451490	WES	breast	breast_cancer	MutSig
2064	ERBB2	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
2064	ERBB2	14993899	"Known Cancer"	multiple	-	-
2064	ERBB2	27348297	WES	uterus	endometrial_cancer	MutSig
2064	ERBB2	24121792	WES	bladder	bladder_cancer	Wood-based
2064	ERBB2	28296713	WES	skin	mucosal_melanoma	Recurrence-based
2064	ERBB2	25576899	"WES-gene panel"	thyroid	anaplastic_thyroid_carcinoma	"Recurrence-based, Literature-based"
2064	ERBB2	24390350	WES	multiple	pan-cancer_adult	MutSig
2064	ERBB2	25501392	WES	multiple	pan-cancer_adult	HOTNET2
2064	ERBB2	24997986	WES	hepatobiliary	gallbladder_carcinoma	MutSig
2064	ERBB2	24952746	WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
2064	ERBB2	27135926	WGS	breast	breast_cancer	Paper-specific
2064	ERBB2	27161491	"Gene panel"	breast	breast_cancer	Recurrence-based
2064	ERBB2	28988769	WES	bladder	bladder_cancer	MutSig
2064	ERBB2	26343386	"WGS-WES-Gene panel"	skin	desmoplastic_melanoma	"Recurrence-based, Literature-based"
2064	ERBB2	22722201	WES	breast	breast_cancer	Greenman-based
2064	ERBB2	28052061	WGS-WES	esophagus	esophageal_(squamous_and_adenocarcinoma)	MutSig
2064	ERBB2	23539594	"Known Cancer"	multiple	-	-
2064	ERBB2	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
2064	ERBB2	26099045	WGS	breast	breast_cancer	"Recurrence-based, Literature-based"
2065	ERBB3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2065	ERBB3	24476821	WES	bladder	bladder_cancer	MutSig
2065	ERBB3	28522256	WES	stomach	diffuse_gastric_adenocarcinoma	MutSig
2065	ERBB3	14993899	"Known Cancer"	multiple	-	-
2065	ERBB3	27348297	WES	uterus	endometrial_cancer	MutSig
2065	ERBB3	26804919	WES	small_intestine	ampullary_adenocarcinoma	MutSig
2065	ERBB3	21822268	WES	bladder	bladder_cancer	"Wood-based, Recurrence-based"
2065	ERBB3	24121792	WES	bladder	bladder_cancer	Wood-based
2065	ERBB3	20668451	"Gene panel"	breast	breast_cancer	Wood-based
2065	ERBB3	24390350	WES	multiple	pan-cancer_adult	MutSig
2065	ERBB3	24997986	WES	hepatobiliary	gallbladder_carcinoma	MutSig
2065	ERBB3	24952746	WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
2065	ERBB3	22327622	"Gene panel"	colorectal	colorectal_adenocarcinoma	Recurrence-based
2065	ERBB3	27135926	WGS	breast	breast_cancer	Paper-specific
2065	ERBB3	28988769	WES	bladder	bladder_cancer	MutSig
2065	ERBB3	28112728	WGS	cervix	cervical_cancer_(all_histologies)	MutSig
2065	ERBB3	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2065	ERBB3	26625313	WES	bladder	bladder_cancer	MutSig
2065	ERBB3	26806338	"WES-gene panel"	small_intestine	ampullary_adenocarcinoma	Recurrence-based
2066	ERBB4	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2066	ERBB4	20601955	"Gene panel"	soft_tissue	soft_tissue_sarcoma	Recurrence-based
2066	ERBB4	18948947	"Gene panel"	lung	lung_adenocarcinoma	MuSiC
2066	ERBB4	14993899	"Known Cancer"	multiple	-	-
2066	ERBB4	20668451	"Gene panel"	lung	lung_cancer_(all_histologies)	Wood-based
2066	ERBB4	24132290	WES	multiple	pan-cancer_adult	MuSiC
2066	ERBB4	25501392	WES	multiple	pan-cancer_adult	HOTNET2
2066	ERBB4	24997986	WES	hepatobiliary	gallbladder_carcinoma	MutSig
2066	ERBB4	26437033	"WES-gene panel"	breast	breast_fibroepithelial_tumours	Recurrence-based
2066	ERBB4	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2066	ERBB4	24755198	"WES-gene panel"	skin	melanoma	Recurrence-based
2068	ERCC2	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2068	ERCC2	24121791	WES	bladder	bladder_cancer	Recurrence-based
2068	ERCC2	24476821	WES	bladder	bladder_cancer	MutSig
2068	ERCC2	25401301	WES	kidney	non-clear_cell_renal_cancer	Wood-based
2068	ERCC2	14993899	"Known Cancer"	multiple	-	-
2068	ERCC2	24121792	WES	bladder	bladder_cancer	Wood-based
2068	ERCC2	24132290	WES	multiple	pan-cancer_adult	MuSiC
2068	ERCC2	24390350	WES	multiple	pan-cancer_adult	MutSig
2068	ERCC2	28988769	WES	bladder	bladder_cancer	MutSig
2070	EYA4	25079317	WES	stomach	gastric_adenocarcinoma	MutSig
2071	ERCC3	14993899	"Known Cancer"	multiple	-	-
2072	ERCC4	14993899	"Known Cancer"	multiple	-	-
2072	ERCC4	27135926	WGS	breast	breast_cancer	Paper-specific
2077	ERF	26000489	WES	prostate	prostate_cancer	MutSig
2078	ERG	22981675	"Gene panel"	prostate	prostate_cancer	Recurrence-based
2078	ERG	28256603	"WES plus targeted deep resequencing"	head_and_neck	nasopharyngeal_carcinoma	"Literature-based, Paper-specific"
2078	ERG	27087322	WGS	prostate	prostate_cancer	Recurrence-based
2078	ERG	14993899	"Known Cancer"	multiple	-	-
2078	ERG	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
2078	ERG	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2099	ESR1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2099	ESR1	23636398	WES	uterus	endometrial_cancer	MuSiC
2099	ESR1	14993899	"Known Cancer"	multiple	-	-
2099	ESR1	27348297	WES	uterus	endometrial_cancer	MutSig
2099	ESR1	28027327	WES	breast	breast_cancer	MutSig
2099	ESR1	27135926	WGS	breast	breast_cancer	Paper-specific
2099	ESR1	24185510	WES	breast	breast_cancer	Recurrence-based
2099	ESR1	24185512	WES	breast	breast_cancer	Recurrence-based
2104	ESRRG	27064257	WGS	hepatobiliary	pan-liver	Paper-specific
2113	ETS1	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
2115	ETV1	14993899	"Known Cancer"	multiple	-	-
2118	ETV4	14993899	"Known Cancer"	multiple	-	-
2119	ETV5	14993899	"Known Cancer"	multiple	-	-
2120	ETV6	14993899	"Known Cancer"	multiple	-	-
2120	ETV6	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
2120	ETV6	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
2120	ETV6	27063598	"WES-gene panel"	blood	acute_promyelocytic_leukemia	Recurrence-based
2120	ETV6	24413735	WES	blood	acute_lymphoblastic_leukemia	Greenman-based
2120	ETV6	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2120	ETV6	22237106	WGS	blood	acute_lymphoblastic_leukemia	Recurrence-based
2122	MECOM	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2122	MECOM	23636398	WES	uterus	endometrial_cancer	MuSiC
2122	MECOM	14993899	"Known Cancer"	multiple	-	-
2122	MECOM	27348297	WES	uterus	endometrial_cancer	MutSig
2122	MECOM	24132290	WES	multiple	pan-cancer_adult	MuSiC
2125	EVPL	18772397	WES	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
2130	EWSR1	14993899	"Known Cancer"	multiple	-	-
2130	EWSR1	26466571	WES	blood	chronic_lymphocytic_leukemia	MutSig
2131	EXT1	14993899	"Known Cancer"	multiple	-	-
2132	EXT2	14993899	"Known Cancer"	multiple	-	-
2132	EXT2	20668451	"Gene panel"	breast	breast_cancer	Wood-based
2145	EZH1	24390350	WES	multiple	pan-cancer_adult	MutSig
2146	EZH2	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2146	EZH2	23634996	WGS-WES	blood	acute_myeloid_leukemia	MuSiC
2146	EZH2	22976956	"Gene panel"	blood	acute_myeloid_leukemia	Recurrence-based
2146	EZH2	14993899	"Known Cancer"	multiple	-	-
2146	EZH2	24132290	WES	multiple	pan-cancer_adult	MuSiC
2146	EZH2	28064239	WES	blood	follicular_lymphoma	MuSiC
2146	EZH2	24390350	WES	multiple	pan-cancer_adult	MutSig
2146	EZH2	22343534	WES	blood	diffuse_large_B-cell_lymphoma	MutSig
2146	EZH2	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
2146	EZH2	26648538	"WGS-Gene panel"	blood	chronic_myelomonocytic_leukemia	Recurrence-based
2146	EZH2	26908133	WGS-WES	blood	chronic_myelomonocytic_leukemia	DrGap
2146	EZH2	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
2146	EZH2	24325359	WES	blood	myeloproliferative_neoplasm	Paper-specific
2146	EZH2	24362818	WGS-WES	blood	follicular_lymphoma	Recurrence-based
2146	EZH2	21804550	WES	blood	diffuse_large_B-cell_lymphoma	Paper-specific
2146	EZH2	23222956	WES	blood	chronic_myeloid_leukemia	Recurrence-based
2146	EZH2	26343386	"WGS-WES-Gene panel"	skin	desmoplastic_melanoma	"Recurrence-based, Literature-based"
2146	EZH2	26457647	"WES-gene panel"	blood	juvenile_myelomonocytic_leukemia	"Paper-specific, Literature-based"
2146	EZH2	25223734	WGS	bone	Ewing_sarcoma	MuSiC
2146	EZH2	23539594	"Known Cancer"	multiple	-	-
2146	EZH2	21909114	WES	blood	myelodysplasia	Recurrence-based
2146	EZH2	22237106	WGS	blood	acute_lymphoblastic_leukemia	Recurrence-based
2153	F5	26824661	WGS-WES	brain	pan-glioma	MutSig
2153	F5	23525077	WGS-WES	esophagus	esophageal_adenocarcinoma	MutSig
2157	F8	18772397	WES	pancreas	pancreatic_ductal_adenocarcinoma	Wood-based
2175	FANCA	24121791	WES	bladder	bladder_cancer	Recurrence-based
2175	FANCA	14993899	"Known Cancer"	multiple	-	-
2175	FANCA	26632267	"WES-gene panel"	bone	osteosarcoma	"Recurrence-based, IntOGen"
2175	FANCA	27063598	"WES-gene panel"	blood	acute_promyelocytic_leukemia	Recurrence-based
2176	FANCC	14993899	"Known Cancer"	multiple	-	-
2177	FANCD2	14993899	"Known Cancer"	multiple	-	-
2178	FANCE	14993899	"Known Cancer"	multiple	-	-
2181	ACSL3	14993899	"Known Cancer"	multiple	-	-
2185	PTK2B	20601955	"Gene panel"	soft_tissue	soft_tissue_sarcoma	Recurrence-based
2186	BPTF	24121791	WES	bladder	bladder_cancer	Recurrence-based
2186	BPTF	22634756	WGS	hepatobiliary	hepatocellular_carcinoma	Paper-specific
2188	FANCF	14993899	"Known Cancer"	multiple	-	-
2189	FANCG	14993899	"Known Cancer"	multiple	-	-
2195	FAT1	26934577	WES	head_and_neck	oral_squamous_cell_carcinoma	"OncodriveFM, Youn-based"
2195	FAT1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2195	FAT1	27158780	WES	lung	lung_cancer_(all_histologies)	MutSig
2195	FAT1	25631445	WES	head_and_neck	squamous_head_and_neck_cancer	MutSig
2195	FAT1	28548104	WGS	esophagus	esophageal_squamous_carcinoma	MutSig
2195	FAT1	27325650	WES	penis	penile_squamous_cancer	"IntOGen, Literature-based"
2195	FAT1	14993899	"Known Cancer"	multiple	-	-
2195	FAT1	25151357	WES	esophagus	esophageal_squamous_carcinoma	MutSig
2195	FAT1	24390350	WES	multiple	pan-cancer_adult	MutSig
2195	FAT1	24686850	WES	esophagus	esophageal_squamous_carcinoma	MutSig
2195	FAT1	24952746	WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
2195	FAT1	26608593	WES	blood	diffuse_large_B-cell_lymphoma	MuSiC
2195	FAT1	27058444	WGS-WES	esophagus	esophageal_squamous_carcinoma	MutSig
2195	FAT1	28988769	WES	bladder	bladder_cancer	MutSig
2195	FAT1	27313181	WES	stomach	mucinous_gastric_cancer	Recurrence-based
2195	FAT1	21798893	WES	head_and_neck	squamous_head_and_neck_cancer	MutSig
2195	FAT1	26536169	WES	kidney	papillary_renal_cell_carcinoma	MutSig
2195	FAT1	28551381	"WES-gene panel"	colorectal	colorectal_adenocarcinoma	Recurrence-based
2196	FAT2	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
2196	FAT2	24686850	WES	esophagus	esophageal_squamous_carcinoma	MutSig
2196	FAT2	24952746	WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
2196	FAT2	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
2196	FAT2	27058444	WGS-WES	esophagus	esophageal_squamous_carcinoma	MutSig
2196	FAT2	22156295	WES	pancreas	pancreatic_ductal_adenocarcinoma	Recurrence-based
2199	FBLN2	26909576	WGS	pancreas	pancreatic_cancer_(all_histologies)	"HOTNET2, OncodriveFM, MutSig"
2199	FBLN2	14993899	"Known Cancer"	multiple	-	-
2201	FBN2	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
2205	FCER1A	21499247	WES	skin	melanoma	Paper-specific
2213	FCGR2B	14993899	"Known Cancer"	multiple	-	-
2237	FEN1	28256603	"WES plus targeted deep resequencing"	head_and_neck	nasopharyngeal_carcinoma	"Literature-based, Paper-specific"
2237	FEN1	14993899	"Known Cancer"	multiple	-	-
2242	FES	14993899	"Known Cancer"	multiple	-	-
2243	FGA	24120142	WES	brain	glioblastoma	"InVEx, MutSig"
2247	FGF2	28452984	WES	blood	chronic_myeloid_leukemia	"Recurrence-based, Literature-based"
2250	FGF5	25730765	WGS	blood	acute_lymphocytic_leukemia	Recurrence-based
2260	FGFR1	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2260	FGFR1	26121087	WGS	brain	neuroblastoma	Paper-specific
2260	FGFR1	24705250	WES	brain	astrocytoma	Recurrence-based
2260	FGFR1	14993899	"Known Cancer"	multiple	-	-
2260	FGFR1	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
2260	FGFR1	23817572	WGS	brain	astrocytoma	MuSiC
2260	FGFR1	26258846	WES	hepatobiliary	biliary_tract_cancer	MutSig
2260	FGFR1	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2260	FGFR1	23583981	WGS-WES	brain	paediatric_low_grade_glioma	"MuSiC, Paper-specific"
2260	FGFR1	24880341	WES	brain	glioma	Recurrence-based
2261	FGFR3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2261	FGFR3	26950094	"WES-gene panel"	skin	skin_basal_cell_carcinoma	"MutSig, TumOnc"
2261	FGFR3	24476821	WES	bladder	bladder_cancer	MutSig
2261	FGFR3	14993899	"Known Cancer"	multiple	-	-
2261	FGFR3	21822268	WES	bladder	bladder_cancer	"Wood-based, Recurrence-based"
2261	FGFR3	24121792	WES	bladder	bladder_cancer	Wood-based
2261	FGFR3	22980975	WES	lung	lung_adenocarcinoma	InVEx
2261	FGFR3	24132290	WES	multiple	pan-cancer_adult	MuSiC
2261	FGFR3	24390350	WES	multiple	pan-cancer_adult	MutSig
2261	FGFR3	26258846	WES	hepatobiliary	biliary_tract_cancer	MutSig
2261	FGFR3	28988769	WES	bladder	bladder_cancer	MutSig
2261	FGFR3	23539594	"Known Cancer"	multiple	-	-
2261	FGFR3	26625313	WES	bladder	bladder_cancer	MutSig
2261	FGFR3	23583981	WGS-WES	brain	paediatric_low_grade_glioma	"MuSiC, Paper-specific"
2262	GPC5	24476821	WES	bladder	bladder_cancer	MutSig
2262	GPC5	14993899	"Known Cancer"	multiple	-	-
2263	FGFR2	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2263	FGFR2	28297679	WES	hepatobiliary	cholangiocarcinoma	MutSig
2263	FGFR2	14993899	"Known Cancer"	multiple	-	-
2263	FGFR2	27348297	WES	uterus	endometrial_cancer	MutSig
2263	FGFR2	24185509	WES	hepatobiliary	cholangiocarcinoma	Wood-based
2263	FGFR2	24132290	WES	multiple	pan-cancer_adult	MuSiC
2263	FGFR2	24390350	WES	multiple	pan-cancer_adult	MutSig
2263	FGFR2	24952746	WES	head_and_neck	nasopharyngeal_carcinoma	MutSig
2263	FGFR2	26258846	WES	hepatobiliary	biliary_tract_cancer	MutSig
2263	FGFR2	27135926	WGS	breast	breast_cancer	Paper-specific
2263	FGFR2	22158541	WES	blood	chronic_lymphocytic_leukemia	Recurrence-based
2263	FGFR2	24859340	WGS	head_and_neck	ameloblastoma	Recurrence-based
2263	FGFR2	23539594	"Known Cancer"	multiple	-	-
2263	FGFR2	23583981	WGS-WES	brain	paediatric_low_grade_glioma	"MuSiC, Paper-specific"
2264	FGFR4	20399149	"Gene panel"	brain	glioblastoma	Paper-specific
2264	FGFR4	18948947	"Gene panel"	lung	lung_adenocarcinoma	MuSiC
2264	FGFR4	14993899	"Known Cancer"	multiple	-	-
2271	FH	14993899	"Known Cancer"	multiple	-	-
2271	FH	23738515	WGS	uterus	leiomyoma	Recurrence-based
2271	FH	26939876	"Gene panel"	breast	triple_negative_breast_cancer	"Recurrence-based, Paper-specific"
2272	FHIT	14993899	"Known Cancer"	multiple	-	-
2304	FOXE1	22941188	WES	lung	small_cell_lung_cancer	MuSiC
2305	FOXM1	25501392	WES	multiple	pan-cancer_adult	HOTNET2
2308	FOXO1	14993899	"Known Cancer"	multiple	-	-
2308	FOXO1	21796119	WES	blood	non-Hodgkin_lymphoma	Greenman-based
2309	FOXO3	14993899	"Known Cancer"	multiple	-	-
2309	FOXO3	27161491	"Gene panel"	breast	breast_cancer	Recurrence-based
2312	FLG	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
2312	FLG	24390350	WES	multiple	pan-cancer_adult	MutSig
2312	FLG	27058444	WGS-WES	esophagus	esophageal_squamous_carcinoma	MutSig
2312	FLG	25855536	WES	pancreas	pancreatic_ductal_adenocarcinoma	MutSig
2313	FLI1	14993899	"Known Cancer"	multiple	-	-
2316	FLNA	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2316	FLNA	14993899	"Known Cancer"	multiple	-	-
2316	FLNA	26437033	"WES-gene panel"	breast	breast_fibroepithelial_tumours	Recurrence-based
2321	FLT1	23583981	WGS-WES	brain	paediatric_low_grade_glioma	"MuSiC, Paper-specific"
2322	FLT3	25730765	WGS	blood	acute_lymphocytic_leukemia	Recurrence-based
2322	FLT3	29625053	WES	multiple	pan-cancer_adult	PanSoftWare
2322	FLT3	23634996	WGS-WES	blood	acute_myeloid_leukemia	MuSiC
2322	FLT3	14993899	"Known Cancer"	multiple	-	-
2322	FLT3	29489754	WGS-WES	multiple	pan-cancer_paediatric	MuSiC
2322	FLT3	23334668	WGS-WES	blood	acute_lymphocytic_leukemia	Recurrence-based
2322	FLT3	20668451	"Gene panel"	lung	lung_cancer_(all_histologies)	Wood-based
2322	FLT3	24132290	WES	multiple	pan-cancer_adult	MuSiC
2322	FLT3	24390350	WES	multiple	pan-cancer_adult	MutSig
2322	FLT3	18987736	WGS	blood	acute_myeloid_leukemia	Literature-based
2322	FLT3	29489755	WGS-WES-RNAseq	multiple	pan-cancer_paediatric	"GRIN, MutSig"
